wavelength,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef_x,coef_y,coef,coef mean,coef sem
1026,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
1075,-1.8657073992099587,-2.3224437388828467,-2.586814830379125,-2.4462591083513194,-2.6085074838284714,-2.259950743335456,-2.335614375133374,-2.656871944284185,-2.4088158431934783,-2.577917290067884,-2.6321934164076217,-2.4069157460713564,-2.325304386996597,-2.456659777599201,-2.8540301181593133,-2.1484048158442937,-2.5792888343136706,-2.703832655978931,-2.358468342968761,-2.7060179786826826,-2.6443288559465525,-2.7936801673589318,-2.5731928025731117,-2.476685275241601,-2.1686374823270835,-2.7393540634409708,-2.5901743425281865,-2.5198615395586113,-2.1426804152156356,-2.640927902159217,-2.3780712413593985,-2.6499310848133484,-2.5580309737102613,-2.088078824093135,-2.514969640037974,-2.2619335433483085,-2.4585535281284163,-2.9578468089399292,-2.5867568186842043,-2.465957132443497,-2.1164659373652595,-2.6429175235929154,-2.139765614919686,-2.725340118007287,-2.279546677727196,-2.54348664941359,-2.5108625883510154,-1.9884034018833463,-2.6553735382583623,-2.298974365678716,-2.467016153735885,0.03187915752070662
1154,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
1307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0826874923902828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001653749847805656,0.0016209990830926282
1457,3.5172815933653254,4.097407002554683,4.226809264807689,4.58544906468795,4.4465044641168685,3.725250567574723,3.9743827035260026,4.505415808442993,4.241617132254011,4.19750204576783,4.052566825643699,4.418265691279223,3.976737480875403,4.258664791586157,4.642202680809295,3.9326262587676037,4.5266876438475965,4.19228136009188,3.9815389443791465,4.32637722004337,3.761603802574701,4.170132675314631,4.420718603601984,4.625883146620082,3.8963581198368495,4.457506855029578,4.6787027141342445,4.2348960073593105,3.9705641235947704,3.8032408367611987,4.798283497507628,3.6054427182480993,3.7906922949386215,4.965082609567359,3.7802445827977125,4.1468843241648,3.7472299241944658,4.061286582350149,5.143531224708517,4.039099152730799,3.923288736091182,4.737657830840706,3.7460571155980396,4.753745043043044,3.606465849021816,3.8078740660848434,4.55731509369632,4.05120679663387,4.236813670949203,3.821971101800051,4.183306952884321,0.05272399223474064
1539,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636,-1.180805095718279,-1.993110894617964,-2.133210010093376,-2.3107442956420337,-2.3389728665147023,-1.701298368393695,-1.8582199039063734,-2.0922805382373846,-2.1182700110414965,-2.0282309328030204,-1.9210755841679266,-2.3476831675204797,-1.8697418292009635,-2.11210812391049,-2.4023541923015395,-1.8736805384763089,-1.765290681453287,-2.1723245350866223,-2.0326434818374857,-2.437327125979776,-1.9579018389156893,-2.0581665151660538,-1.9343881126768752,-2.4793457398070418,-1.6605501677276222,-2.2328201222601947,-2.595395767224844,-2.118613193637024,-1.712611846708644,-1.7894850540074876,-2.445723528536319,-1.926811428077731,-1.6461733496547484,-2.54745159958779,-1.6700955663697652,-1.6713766936130667,-1.628803890337859,-1.9731260163548339,-3.0478555585630778,-2.117225018368336,-1.6428863761408776,-2.614159451494737,-1.6952205917120584,-2.326926554017029,-1.6780140413175682,-1.7141473909974656,-2.4085324253317424,-1.7383443479378657,-2.093066632975257,-1.7934345680947907,-2.0321605112903525,0.04756651146769393
1746,-3.7869924920975397,-4.159058831295043,-4.566649173513943,-4.1944008951079015,-4.670918519759973,-4.128209575618349,-4.075031280632868,-4.3870108576249125,-4.539764677923025,-4.231280474623037,-4.43028887075895,-4.493433034036187,-4.315266206087539,-4.2988265930936365,-4.517067131109942,-4.089509079802173,-3.5727357599538725,-4.480857013867921,-4.365250552998813,-5.304794623796882,-4.538641448461204,-4.381226047147908,-4.14433474367169,-4.333385581313559,-4.318464174867955,-4.401855046986821,-4.589599102423493,-4.3552231963892245,-4.12334305336628,-4.459872695078062,-4.238615560917536,-4.941033722738976,-4.2426584961282465,-4.19062213415992,-4.210938258736517,-3.5679428936070043,-4.4273529014173985,-4.480865719001285,-5.115970345068288,-4.537525887379939,-4.279532709733541,-4.771762103763423,-3.7160968635522265,-4.187926321727306,-4.2368422350544295,-4.257783091413047,-4.676652579775567,-3.5199571099339093,-4.4866816776901475,-4.143040600621692,-4.329661838916582,0.04732299073476176
1901,-2.13246778138698,-2.130181105394193,-2.21140956761422,-2.1784622208225293,-2.1941541874407062,-2.092366752896582,-2.278513080824451,-2.277374691327313,-2.078970506864521,-2.212786048039833,-2.125140391914105,-2.216942427451751,-2.0365338727338558,-2.0004736191109296,-2.459693181500354,-2.1439551122835176,-1.9382201547233693,-2.2765294828668563,-2.305766228527827,-2.2533971788767655,-2.328129841587343,-2.2462863900194026,-2.026058200198626,-2.1761399742775414,-2.185885072980279,-2.0619711106093948,-2.232737726644061,-2.1562633655649615,-2.0960377054143264,-2.349239279878267,-2.3153754816466527,-2.14840745526848,-2.1251377939797798,-2.095519041176908,-2.226494572090243,-2.1824948900488397,-2.276503771605549,-2.290928899221583,-1.9538764106442146,-2.225691914090684,-2.0490311459526027,-2.1348308617270946,-2.3644693532483547,-2.066810860880774,-2.260306069446092,-2.201598325751538,-2.0761930153738435,-2.0800803692455383,-2.1994910762818582,-2.387159798929296,-2.1812497473276955,0.015545341366982114
2854,4.5628846497534825,4.644358232653137,5.290102971114294,4.519842445201227,5.145298115655477,4.832787124885241,4.68902479563682,4.769596247457326,4.985054309909772,4.940467051302798,5.219087813284248,4.867549075666693,4.9531309698409665,4.918736110855645,4.8882218321376145,4.6645933175690475,3.881347500941257,4.975313356686003,5.082076020970289,6.097255112441311,5.193024886919399,5.195213375095348,4.48913215213326,4.797282480031562,4.9048549230965195,5.008263716336769,4.908431299362896,4.870974651698635,4.541197670730666,5.458811580346837,4.308436066915448,6.062697258729683,5.035910741821508,4.365539458479109,4.944533744569357,4.102325697859168,5.360185342624234,5.005064345237978,5.28626358694478,5.180993673694193,4.871078543618522,5.169907899584332,4.401224458381593,4.681805212822333,4.906498396165045,5.079988439546859,5.04008449812611,3.8647086995960547,5.100406636917831,4.913639090388729,4.899504111634748,0.058469975954931405
2923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3276,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04603333860988876,-0.045946132602552675,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10420072194937542,-0.0,-0.009919690559505333,-0.012779428403653818,-0.0,-0.0,0.0,-0.0,-0.0,-0.16682935294115014,-0.0,-0.11024671314239878,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.22151828389006623,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.009179952638867363,-0.01453307229474917,0.0060692120089324226
3400,-0.0,0.01602874879502162,0.0,0.0,0.0,0.0,0.0,0.11144956583681491,0.0,-0.0,0.0,0.0,-0.0,0.0,0.05344360040409952,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.08231839931900495,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.055620237423077694,-0.0,0.0,0.016401078664189255,-0.0,0.13066707769912775,0.0,-0.0,0.0,-0.0,0.026198397116692602,0.0,-0.0,-0.0,0.009842542105160565,0.0038901348052358606
3856,-0.3585501283262542,-0.3372109317550581,-0.26371934544313086,-0.19629071878976237,-0.2740178559240137,-0.2677357071659989,-0.13485348956349555,-0.18034414463642667,-0.4715828242234297,-0.3172778274804873,-0.3433945818840159,-0.30817126546701923,-0.46353813080273737,-0.38851000463353424,-0.0,-0.2571442030775419,-0.48711106902730383,-0.19373022520814043,-0.2391768005800287,-0.2129179242165289,-0.14326930095160434,-0.3204587532708654,-0.469128088550312,-0.20942227125003837,-0.242595070412843,-0.4744742907614564,-0.23064193585917592,-0.28663703770691856,-0.37196407478675353,-0.05417102567311156,-0.2787552985649857,-0.30230659683769096,-0.22771142225307148,-0.3607625675538226,-0.20719318408906734,-0.32377610468797713,-0.21446508097179204,-0.1345932485058821,-0.4569752455511283,-0.29632093512949415,-0.5039488530081714,-0.2664651651628314,-0.014324531021885285,-0.4262463877399973,-0.18415270923987861,-0.4118171389167338,-0.30039800809542416,-0.3056508277723112,-0.26565452248919336,-0.0,-0.27959113710038647,0.017223690181235138
401,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
526,-0.5941993960354475,-0.0,-0.0,-0.0,-0.0,-0.09299716623766588,-0.0,-0.6913157307775618,-0.0,-0.0,-0.0,-0.0,-0.10594095829659274,-0.07833365137078649,-0.0,-0.12792983781055445,-0.0,-0.0,-0.010036112154743669,-0.0,-0.0,-0.0,-0.3327343728435384,-0.0,-0.31580367399313447,-0.0,-0.0,-0.0,-0.0,-0.036070254674295824,-0.0,-0.0,-0.004930549064028243,-0.2518474061550115,-0.0,-0.18712721210238198,-0.22353422497906142,-0.0,-0.0,-0.0,-0.5149994268119187,-0.0,-0.0,-0.0,-0.0,-0.013660571009246317,-0.0593140969908723,-0.1572444613751436,-0.0,-0.0,-0.07596038205363971,0.022040978119579023
880,0.0,0.0,0.0,0.0,0.049210706863536305,0.0,0.0,0.6532276104202137,0.0,0.0,0.0,0.0,0.0,0.0,0.3466633801811949,0.0,0.0,0.3390729948736763,0.0,0.0,0.38716271693115994,0.0,0.4845416193204787,0.0,0.0,0.0,0.2488468133232837,0.029541587190374967,0.0,0.0,0.10671033859274417,0.0,0.0,0.0,0.0,0.0,0.0,0.7658793801499181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10265923613541335,0.0,0.0702703276796399,0.024037130462827176
mse,16.053552348328058,13.134205451265794,14.501847519587608,13.040722721502533,13.400880824333235,12.909025958836082,11.572220815213445,16.264194058373675,14.948716200196055,14.6489789554636,13.645229546507675,16.648259552665003,13.730108803258581,12.571465395684136,13.401021022286345,11.653575137209184,15.657352515848288,13.268188274655001,14.709510718658844,15.694482118803226,14.341818956408085,15.21335116060621,14.091590926328184,12.666181405417808,14.522599858157822,13.468514799730825,13.654633896314385,13.413777311075712,16.34447652706854,13.255165735544873,14.615255474383222,16.427218523206196,13.376914840470604,13.712881090274545,12.930567011978201,13.403773789797254,15.01947142795237,13.154429474078285,14.783186815930845,14.35009430669201,16.8169781275635,14.074492682427929,13.026195475681147,14.148082481286234,12.861350635065808,13.027052708716024,13.597406378095503,15.943405194828982,12.741860590432646,15.274623496079979,14.114217780805403,0.17781788938515192
r2,0.39419407907192583,0.4937979497801569,0.420727902008175,0.5352949181961812,0.4753613715399492,0.5436396614825979,0.5166482104161769,0.4293727498197719,0.40605693200562676,0.4155102949394571,0.475824899354775,0.4093521866462807,0.45842719083198447,0.518151296427144,0.4750313631724883,0.5446245759967542,0.41197562694860057,0.4707257807856724,0.4143306714284949,0.4509710950258269,0.45642750982909563,0.41594717938884374,0.4237100563795019,0.5248082438545515,0.45807752688848313,0.43745170480834394,0.4906745326117852,0.5117609264162848,0.3858532807559534,0.4930436860809936,0.42534593914310814,0.4039495013195593,0.4999186848007168,0.44211614641500785,0.5097767479415322,0.45037769681142825,0.3584147743195213,0.5123374346792476,0.50221363805938,0.46495144423022583,0.37635104164095856,0.47349593754667585,0.4964414597861847,0.43031310515388066,0.5164876153037835,0.40063547865857585,0.5244391479739732,0.42761507064855875,0.4810759968122479,0.45174193767060034,0.4601154440361408,0.006592568350040781
