Status	Age	3275.94cm	2922.99cm	2853.55cm	1635.56cm	1540.09cm	1457.15cm	1379.04cm	1155.31	1076.23cm	1028.97cm	525.57cm
SF	1	0.0892	0.07168	0.06027	0.10828	0.1015	0.07723	0.08453	0.07893	0.1237	0.14585	0.16526
SF	1	0.11116	0.11411	0.09149	0.17636	0.1627	0.11893	0.12604	0.11966	0.1847	0.22532	0.24336
SF	1	0.07752	0.07238	0.06003	0.09207	0.08238	0.07174	0.08126	0.08289	0.13739	0.16881	0.17759
BF	3	0.04602	0.11899	0.09061	0.11267	0.10593	0.09406	0.09082	0.10729	0.12129	0.1273	0.14606
BF	3	0.07357	0.08898	0.06953	0.14659	0.13836	0.09514	0.09673	0.08634	0.11269	0.11814	0.15396
BF	3	0.09807	0.10668	0.0828	0.19833	0.18313	0.11918	0.12256	0.10566	0.14322	0.14789	0.20443
BF	3	0.05735	0.07962	0.06155	0.09692	0.09093	0.0695	0.07145	0.0727	0.08991	0.09982	0.11918
BF	3	0.09248	0.10071	0.07862	0.19936	0.1857	0.11726	0.12249	0.1062	0.13078	0.12803	0.20362
BF	3	0.05926	0.07243	0.05829	0.11765	0.11158	0.07686	0.07862	0.07515	0.09974	0.10847	0.13796
BF	3	0.05341	0.06363	0.05125	0.10743	0.10202	0.06997	0.07194	0.06726	0.085	0.0883	0.11561
BF	3	0.06695	0.1069	0.0845	0.12756	0.1199	0.09819	0.10063	0.10113	0.12757	0.13867	0.16352
BF	3	0.08288	0.10095	0.07759	0.18867	0.17559	0.11385	0.11697	0.09995	0.11638	0.10504	0.1832
BF	3	0.07494	0.148	0.1122	0.1647	0.15398	0.12118	0.11946	0.12551	0.14001	0.1354	0.18402
BF	3	0.07426	0.08359	0.06437	0.15704	0.14777	0.09954	0.10514	0.08975	0.11416	0.1138	0.16541
BF	3	0.06439	0.12168	0.09273	0.11847	0.11215	0.09265	0.09334	0.10264	0.13375	0.15067	0.163
BF	3	0.09865	0.10023	0.07798	0.18472	0.16733	0.11046	0.1146	0.10682	0.13104	0.14129	0.19201
BF	3	0.08188	0.11317	0.08797	0.15683	0.14516	0.10552	0.10823	0.1119	0.13682	0.15492	0.19083
BF	3	0.05548	0.06881	0.05505	0.12492	0.11773	0.07954	0.08113	0.07554	0.09337	0.0955	0.13294
BF	3	0.06182	0.08588	0.06828	0.1334	0.127	0.08929	0.09033	0.08878	0.10521	0.10875	0.15195
BF	3	0.08259	0.12678	0.09804	0.16706	0.15781	0.11816	0.11885	0.11333	0.13581	0.13536	0.18868
BF	3	0.06675	0.0985	0.07707	0.12575	0.12034	0.08877	0.09224	0.09051	0.11835	0.12918	0.15589
BF	3	0.07574	0.08956	0.06968	0.1563	0.1428	0.09908	0.10265	0.09581	0.11781	0.12416	0.17163
BF	3	0.06671	0.10399	0.08087	0.1196	0.11008	0.08651	0.0887	0.09636	0.13225	0.15519	0.16132
BF	3	0.0718	0.0764	0.06023	0.152	0.14186	0.09327	0.09695	0.08594	0.10405	0.10454	0.16383
BF	3	0.05638	0.10513	0.08097	0.11171	0.10597	0.08764	0.08814	0.0966	0.12081	0.13253	0.14725
BF	3	0.06273	0.07746	0.06087	0.13148	0.12261	0.07957	0.08154	0.07688	0.09264	0.09296	0.13606
BF	3	0.08774	0.10497	0.08135	0.18399	0.17335	0.11427	0.11476	0.10191	0.12806	0.12734	0.17872
BF	3	0.08263	0.0919	0.07189	0.16324	0.14875	0.10159	0.10556	0.09484	0.12232	0.12812	0.1778
BF	3	0.0863	0.13364	0.09976	0.19039	0.18019	0.12519	0.1286	0.12243	0.14106	0.13448	0.1986
BF	3	0.07114	0.08285	0.06473	0.14605	0.13608	0.09172	0.09244	0.08078	0.1024	0.10271	0.14861
