Status	Real age	Species	Age	time stored	3855.53371	3400.35314	3275.94998	2922.99216	2853.55784	1900.76462	1745.50175	1635.56407	1540.09188	1457.15644	1379.04282	1306.7154	1235.35235	1155.31	1076.23202	1028.97811	880.4658	525.57926	401.17609
SF	2	AR	2	24	0.01215	0.0586	0.08891	0.13667	0.09956	0.01755	0.04734	0.1992	0.18492	0.13469	0.14304	0.12779	0.14287	0.13477	0.18586	0.20446	0.10192	0.23819	0.23904
SF	2	AR	2	24	0.01905	0.05131	0.073	0.08373	0.06759	0.01931	0.02711	0.13065	0.12161	0.09066	0.09477	0.08605	0.09333	0.08629	0.12944	0.14866	0.07432	0.16451	0.23457
SF	2	AR	2	24	0.01549	0.05059	0.07238	0.07586	0.06203	0.01678	0.02505	0.12685	0.11776	0.08529	0.09203	0.0839	0.08904	0.08494	0.13447	0.15811	0.07592	0.17623	0.23687
SF	2	AR	2	24	0.0178	0.05489	0.07669	0.07955	0.06434	0.01722	0.02448	0.13213	0.12414	0.08834	0.0967	0.0865	0.09032	0.09048	0.139	0.16328	0.08017	0.17546	0.18732
SF	2	AR	2	24	0.01401	0.03976	0.05802	0.05682	0.04601	0.01386	0.01807	0.11758	0.10997	0.07589	0.08225	0.07261	0.07868	0.07282	0.10703	0.11741	0.05996	0.15116	0.1417
SF	2	AR	2	24	0.01183	0.0646	0.09056	0.10329	0.08123	0.0158	0.03586	0.13767	0.12343	0.09772	0.10567	0.09727	0.10094	0.10423	0.16427	0.20041	0.08979	0.18627	0.31391
SF	2	AR	2	24	0.0103	0.05235	0.07597	0.08847	0.06733	0.01209	0.02862	0.13204	0.1205	0.09104	0.09316	0.08505	0.09185	0.08674	0.12591	0.14937	0.0703	0.15413	0.22204
SF	2	AR	2	24	0.01619	0.05042	0.07367	0.07281	0.0587	0.0165	0.02393	0.14603	0.13483	0.09252	0.09967	0.08807	0.09645	0.09157	0.13366	0.14834	0.0724	0.16371	0.20049
SF	2	AR	2	24	0.01299	0.05648	0.07933	0.07869	0.06344	0.01528	0.0248	0.12516	0.11309	0.08477	0.0913	0.08325	0.08681	0.08751	0.13615	0.16311	0.07526	0.15769	0.2004
SF	2	AR	2	24	0.01492	0.05361	0.08121	0.09133	0.0734	0.01779	0.02915	0.16131	0.14827	0.10279	0.1107	0.0991	0.10836	0.09997	0.16042	0.17867	0.08958	0.21169	0.21733
