Status	Real age	Species	Age	time stored	3855.53371	3400.35314	3275.94998	2922.99216	2853.55784	1900.76462	1745.50175	1635.56407	1540.09188	1457.15644	1379.04282	1306.7154	1235.35235	1155.31	1076.23202	1028.97811	880.4658	525.57926	401.17609
BA	5	AG	5	-1095	0.00533	0.05597	0.07967	0.14084	0.10595	0.00811	0.05668	0.12139	0.11048	0.09969	0.09801	0.09028	0.10188	0.10682	0.13817	0.15189	0.07166	0.15643	0.14126
BA	7	AG	7	-1095	0.00707	0.11655	0.15768	0.18394	0.13801	0.0115	0.0649	0.21071	0.18284	0.15095	0.15795	0.14447	0.15134	0.17533	0.26783	0.33391	0.13382	0.36384	0.34033
BA	7	AG	7	-1095	0.00843	0.08102	0.11198	0.14032	0.10733	0.01299	0.0468	0.15398	0.13361	0.106	0.11032	0.09946	0.10688	0.12333	0.17896	0.21983	0.09112	0.21578	0.19028
BA	7	AG	7	-1095	0.00707	0.07531	0.1079	0.18621	0.13863	0.01056	0.09516	0.1721	0.15358	0.13138	0.12756	0.11558	0.13029	0.15897	0.20952	0.24493	0.10696	0.25323	0.22259
BA	7	AG	7	-1095	0.00789	0.10866	0.14822	0.18601	0.13937	0.01379	0.06521	0.19711	0.17381	0.1414	0.14685	0.13204	0.13993	0.16043	0.23566	0.28566	0.12098	0.30781	0.2753
BA	7	AG	7	-1095	0.01012	0.07748	0.10422	0.10119	0.08105	0.01191	0.0308	0.16275	0.14356	0.10373	0.11217	0.10364	0.11293	0.11766	0.17945	0.20646	0.09382	0.22738	0.21851
BA	7	AG	7	-1095	0.00638	0.15846	0.2163	0.19421	0.14966	0.01225	0.06241	0.24028	0.19795	0.16799	0.18481	0.17058	0.1776	0.18614	0.36186	0.47152	0.15823	0.46279	0.44226
BA	7	AG	7	-1095	0.00594	0.03833	0.05133	0.07732	0.05983	0.0071	0.03109	0.08734	0.08017	0.06913	0.07454	0.06758	0.07446	0.07877	0.11903	0.13495	0.06425	0.14756	0.13944
BA	7	AG	7	-1095	0.00875	0.10403	0.14827	0.18673	0.13871	0.01513	0.05167	0.26865	0.24732	0.17482	0.18253	0.16234	0.17521	0.17256	0.26487	0.30741	0.1336	0.36464	0.31824
BA	7	AG	7	-1095	0.01066	0.09246	0.12656	0.1344	0.10489	0.01366	0.03171	0.19976	0.18284	0.13284	0.1436	0.13084	0.14024	0.14105	0.21205	0.25234	0.11223	0.29	0.27187
BA	7	AG	7	-1095	0.00662	0.1276	0.17199	0.19994	0.15073	0.01134	0.07127	0.22185	0.19889	0.16221	0.16647	0.15204	0.15885	0.18841	0.29859	0.38332	0.13683	0.3959	0.36471
BA	9	AG	old	0	0.00792	0.02445	0.03652	0.03586	0.02891	0.0077	0.01179	0.08386	0.08001	0.05416	0.0571	0.05135	0.05885	0.05316	0.07119	0.07357	0.04196	0.1153	0.10189
