wavelength,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept_x,intercept_y,intercept,intercept mean,intercept sem
1026,10.123653777349181,10.140682358195301,10.168014083385767,10.098599776107053,10.0620844585791,10.059592582238114,10.212775707795632,10.15573670518494,10.06445105894659,10.101173787305276,10.124696621307812,10.039122321380653,10.116140157188054,10.123755054291818,10.19070155937383,10.22881249311095,10.147570053387506,10.096320899949257,10.062855817345518,10.068491872242031,10.238997569375696,10.048367058970404,10.091235827097563,10.090829486553753,10.135534918327433,10.129956431220068,10.050704378887861,10.0989220742319,10.107404354152488,10.209749339342604,10.042494836813413,10.218062512294878,10.178160758386086,10.135731392600976,10.019398295244663,10.20593725419848,10.116206712417483,10.08542306094879,10.109324189088968,10.082770142924911,10.254986489936181,9.98509407796808,10.197304532143184,10.059248458072961,10.100413438668191,10.079376080574873,10.19416837341901,10.098801993767983,10.15661071337668,10.064871791560801,9.924986629201596,0.19458351139022045
1075,10.123653777349181,10.140682358195301,10.168014083385767,10.098599776107053,10.0620844585791,10.059592582238114,10.212775707795632,10.15573670518494,10.06445105894659,10.101173787305276,10.124696621307812,10.039122321380653,10.116140157188054,10.123755054291818,10.19070155937383,10.22881249311095,10.147570053387506,10.096320899949257,10.062855817345518,10.068491872242031,10.238997569375696,10.048367058970404,10.091235827097563,10.090829486553753,10.135534918327433,10.129956431220068,10.050704378887861,10.0989220742319,10.107404354152488,10.209749339342604,10.042494836813413,10.218062512294878,10.178160758386086,10.135731392600976,10.019398295244663,10.20593725419848,10.116206712417483,10.08542306094879,10.109324189088968,10.082770142924911,10.254986489936181,9.98509407796808,10.197304532143184,10.059248458072961,10.100413438668191,10.079376080574873,10.19416837341901,10.098801993767983,10.15661071337668,10.064871791560801,9.924986629201596,0.19458351139022045
1154,10.123653777349181,10.140682358195301,10.168014083385767,10.098599776107053,10.0620844585791,10.059592582238114,10.212775707795632,10.15573670518494,10.06445105894659,10.101173787305276,10.124696621307812,10.039122321380653,10.116140157188054,10.123755054291818,10.19070155937383,10.22881249311095,10.147570053387506,10.096320899949257,10.062855817345518,10.068491872242031,10.238997569375696,10.048367058970404,10.091235827097563,10.090829486553753,10.135534918327433,10.129956431220068,10.050704378887861,10.0989220742319,10.107404354152488,10.209749339342604,10.042494836813413,10.218062512294878,10.178160758386086,10.135731392600976,10.019398295244663,10.20593725419848,10.116206712417483,10.08542306094879,10.109324189088968,10.082770142924911,10.254986489936181,9.98509407796808,10.197304532143184,10.059248458072961,10.100413438668191,10.079376080574873,10.19416837341901,10.098801993767983,10.15661071337668,10.064871791560801,9.924986629201596,0.19458351139022045
1307,10.123653777349181,10.140682358195301,10.168014083385767,10.098599776107053,10.0620844585791,10.059592582238114,10.212775707795632,10.15573670518494,10.06445105894659,10.101173787305276,10.124696621307812,10.039122321380653,10.116140157188054,10.123755054291818,10.19070155937383,10.22881249311095,10.147570053387506,10.096320899949257,10.062855817345518,10.068491872242031,10.238997569375696,10.048367058970404,10.091235827097563,10.090829486553753,10.135534918327433,10.129956431220068,10.050704378887861,10.0989220742319,10.107404354152488,10.209749339342604,10.042494836813413,10.218062512294878,10.178160758386086,10.135731392600976,10.019398295244663,10.20593725419848,10.116206712417483,10.08542306094879,10.109324189088968,10.082770142924911,10.254986489936181,9.98509407796808,10.197304532143184,10.059248458072961,10.100413438668191,10.079376080574873,10.19416837341901,10.098801993767983,10.15661071337668,10.064871791560801,9.924986629201596,0.19458351139022045
1457,10.123653777349181,10.140682358195301,10.168014083385767,10.098599776107053,10.0620844585791,10.059592582238114,10.212775707795632,10.15573670518494,10.06445105894659,10.101173787305276,10.124696621307812,10.039122321380653,10.116140157188054,10.123755054291818,10.19070155937383,10.22881249311095,10.147570053387506,10.096320899949257,10.062855817345518,10.068491872242031,10.238997569375696,10.048367058970404,10.091235827097563,10.090829486553753,10.135534918327433,10.129956431220068,10.050704378887861,10.0989220742319,10.107404354152488,10.209749339342604,10.042494836813413,10.218062512294878,10.178160758386086,10.135731392600976,10.019398295244663,10.20593725419848,10.116206712417483,10.08542306094879,10.109324189088968,10.082770142924911,10.254986489936181,9.98509407796808,10.197304532143184,10.059248458072961,10.100413438668191,10.079376080574873,10.19416837341901,10.098801993767983,10.15661071337668,10.064871791560801,9.924986629201596,0.19458351139022045
1539,10.123653777349181,10.140682358195301,10.168014083385767,10.098599776107053,10.0620844585791,10.059592582238114,10.212775707795632,10.15573670518494,10.06445105894659,10.101173787305276,10.124696621307812,10.039122321380653,10.116140157188054,10.123755054291818,10.19070155937383,10.22881249311095,10.147570053387506,10.096320899949257,10.062855817345518,10.068491872242031,10.238997569375696,10.048367058970404,10.091235827097563,10.090829486553753,10.135534918327433,10.129956431220068,10.050704378887861,10.0989220742319,10.107404354152488,10.209749339342604,10.042494836813413,10.218062512294878,10.178160758386086,10.135731392600976,10.019398295244663,10.20593725419848,10.116206712417483,10.08542306094879,10.109324189088968,10.082770142924911,10.254986489936181,9.98509407796808,10.197304532143184,10.059248458072961,10.100413438668191,10.079376080574873,10.19416837341901,10.098801993767983,10.15661071337668,10.064871791560801,9.924986629201596,0.19458351139022045
1636,10.123653777349181,10.140682358195301,10.168014083385767,10.098599776107053,10.0620844585791,10.059592582238114,10.212775707795632,10.15573670518494,10.06445105894659,10.101173787305276,10.124696621307812,10.039122321380653,10.116140157188054,10.123755054291818,10.19070155937383,10.22881249311095,10.147570053387506,10.096320899949257,10.062855817345518,10.068491872242031,10.238997569375696,10.048367058970404,10.091235827097563,10.090829486553753,10.135534918327433,10.129956431220068,10.050704378887861,10.0989220742319,10.107404354152488,10.209749339342604,10.042494836813413,10.218062512294878,10.178160758386086,10.135731392600976,10.019398295244663,10.20593725419848,10.116206712417483,10.08542306094879,10.109324189088968,10.082770142924911,10.254986489936181,9.98509407796808,10.197304532143184,10.059248458072961,10.100413438668191,10.079376080574873,10.19416837341901,10.098801993767983,10.15661071337668,10.064871791560801,9.924986629201596,0.19458351139022045
1746,10.123653777349181,10.140682358195301,10.168014083385767,10.098599776107053,10.0620844585791,10.059592582238114,10.212775707795632,10.15573670518494,10.06445105894659,10.101173787305276,10.124696621307812,10.039122321380653,10.116140157188054,10.123755054291818,10.19070155937383,10.22881249311095,10.147570053387506,10.096320899949257,10.062855817345518,10.068491872242031,10.238997569375696,10.048367058970404,10.091235827097563,10.090829486553753,10.135534918327433,10.129956431220068,10.050704378887861,10.0989220742319,10.107404354152488,10.209749339342604,10.042494836813413,10.218062512294878,10.178160758386086,10.135731392600976,10.019398295244663,10.20593725419848,10.116206712417483,10.08542306094879,10.109324189088968,10.082770142924911,10.254986489936181,9.98509407796808,10.197304532143184,10.059248458072961,10.100413438668191,10.079376080574873,10.19416837341901,10.098801993767983,10.15661071337668,10.064871791560801,9.924986629201596,0.19458351139022045
1901,10.123653777349181,10.140682358195301,10.168014083385767,10.098599776107053,10.0620844585791,10.059592582238114,10.212775707795632,10.15573670518494,10.06445105894659,10.101173787305276,10.124696621307812,10.039122321380653,10.116140157188054,10.123755054291818,10.19070155937383,10.22881249311095,10.147570053387506,10.096320899949257,10.062855817345518,10.068491872242031,10.238997569375696,10.048367058970404,10.091235827097563,10.090829486553753,10.135534918327433,10.129956431220068,10.050704378887861,10.0989220742319,10.107404354152488,10.209749339342604,10.042494836813413,10.218062512294878,10.178160758386086,10.135731392600976,10.019398295244663,10.20593725419848,10.116206712417483,10.08542306094879,10.109324189088968,10.082770142924911,10.254986489936181,9.98509407796808,10.197304532143184,10.059248458072961,10.100413438668191,10.079376080574873,10.19416837341901,10.098801993767983,10.15661071337668,10.064871791560801,9.924986629201596,0.19458351139022045
2854,10.123653777349181,10.140682358195301,10.168014083385767,10.098599776107053,10.0620844585791,10.059592582238114,10.212775707795632,10.15573670518494,10.06445105894659,10.101173787305276,10.124696621307812,10.039122321380653,10.116140157188054,10.123755054291818,10.19070155937383,10.22881249311095,10.147570053387506,10.096320899949257,10.062855817345518,10.068491872242031,10.238997569375696,10.048367058970404,10.091235827097563,10.090829486553753,10.135534918327433,10.129956431220068,10.050704378887861,10.0989220742319,10.107404354152488,10.209749339342604,10.042494836813413,10.218062512294878,10.178160758386086,10.135731392600976,10.019398295244663,10.20593725419848,10.116206712417483,10.08542306094879,10.109324189088968,10.082770142924911,10.254986489936181,9.98509407796808,10.197304532143184,10.059248458072961,10.100413438668191,10.079376080574873,10.19416837341901,10.098801993767983,10.15661071337668,10.064871791560801,9.924986629201596,0.19458351139022045
