Species	Age	Status	time stored	3856	3400	3276	2923	2854	1901	1746	1636	1539	1457	1307	1154	1076	1027	880	526	401
AG	1	SF	6	0.00523	0.14335	0.20991	0.1848	0.14202	0.0123	0.04662	0.32505	0.2929	0.19218	0.1834	0.18746	0.33059	0.41972	0.14729	0.456	0.414
AG	1	SF	6	0.00518	0.12452	0.18978	0.19253	0.14619	0.01223	0.05827	0.33133	0.29902	0.19603	0.17865	0.1824	0.30124	0.35145	0.13846	0.41592	0.37147
AG	1	SF	6	0.00705	0.11786	0.16661	0.18378	0.13805	0.01285	0.06026	0.26749	0.2423	0.17138	0.16049	0.18435	0.29031	0.36376	0.14029	0.4105	0.37578
AG	1	SF	6	0.00253	0.10756	0.15558	0.18794	0.14292	0.01504	0.06889	0.23453	0.19885	0.1506	0.14366	0.17336	0.2812	0.34679	0.13714	0.34988	0.30165
AG	1	SF	6	0.00628	0.07995	0.11665	0.14901	0.11273	0.01195	0.05536	0.20206	0.18766	0.13377	0.12158	0.13579	0.19431	0.22183	0.10502	0.26135	0.234
AG	1	SF	6	0.00559	0.07779	0.1117	0.13732	0.10622	0.01155	0.04398	0.19278	0.17772	0.1326	0.12072	0.12766	0.18376	0.20653	0.09799	0.25074	0.2271
AG	1	SF	6	0.00559	0.07779	0.1117	0.13732	0.10622	0.01155	0.04398	0.19278	0.17772	0.1326	0.12072	0.12766	0.18376	0.20653	0.09799	0.25074	0.2271
AG	1	SF	6	0.00613	0.06163	0.08752	0.16027	0.12031	0.01392	0.07614	0.16976	0.15058	0.12555	0.11441	0.14399	0.19438	0.2232	0.10245	0.24866	0.2232
AG	1	SF	6	0.00657	0.12384	0.18368	0.14549	0.11318	0.01297	0.03019	0.28619	0.25829	0.16353	0.15419	0.15948	0.26394	0.33044	0.12371	0.36074	0.32415
AG	1	SF	6	0.00562	0.12699	0.18585	0.1919	0.14593	0.01369	0.06184	0.29694	0.26385	0.18837	0.17529	0.20063	0.29978	0.36793	0.14358	0.40731	0.36278
AG	1	SF	6	0.00559	0.10811	0.145	0.13155	0.10046	0.01532	0.04079	0.18908	0.15826	0.11096	0.10601	0.13561	0.21735	0.26411	0.12039	0.29006	0.26325
AG	1	SF	6	0.00849	0.12901	0.18331	0.19221	0.14646	0.01348	0.06342	0.26046	0.23955	0.17702	0.1636	0.18143	0.27396	0.33611	0.13863	0.36833	0.33538
AG	1	SF	6	0.01293	0.08801	0.12758	0.13798	0.10833	0.01527	0.03761	0.23449	0.2182	0.15056	0.13976	0.14254	0.21955	0.25149	0.1146	0.30689	0.27581
AG	1	SF	6	0.00769	0.12835	0.17943	0.19067	0.1429	0.01344	0.06739	0.23381	0.21022	0.16018	0.1473	0.18127	0.25022	0.31081	0.12613	0.33093	0.30147
AG	1	SF	6	0.00446	0.12759	0.18619	0.19051	0.14424	0.01263	0.05562	0.29891	0.27195	0.18494	0.17486	0.18749	0.30422	0.38061	0.14154	0.42517	0.3816
AG	1	SF	6	0.00943	0.07963	0.10942	0.12961	0.10192	0.01212	0.03866	0.17631	0.16746	0.12895	0.11771	0.12048	0.17426	0.20115	0.09679	0.23677	0.22059
AG	1	SF	6	0.009	0.09353	0.13084	0.13949	0.10699	0.0138	0.04146	0.19967	0.18086	0.12788	0.11824	0.13387	0.19281	0.22938	0.10198	0.25795	0.23638
AG	1	SF	6	0.00628	0.07995	0.11665	0.14901	0.11273	0.01195	0.05536	0.20206	0.18766	0.13377	0.12158	0.13579	0.19431	0.22183	0.10502	0.26135	0.234
AG	1	SF	6	0.00523	0.14335	0.20991	0.1848	0.14202	0.0123	0.04662	0.32505	0.2929	0.19218	0.1834	0.18746	0.33059	0.41972	0.14729	0.456	0.414
AG	1	SF	6	0.00518	0.12452	0.18978	0.19253	0.14619	0.01223	0.05827	0.33133	0.29902	0.19603	0.17865	0.1824	0.30124	0.35145	0.13846	0.41592	0.37147
AG	1	SF	6	0.00705	0.11786	0.16661	0.18378	0.13805	0.01285	0.06026	0.26749	0.2423	0.17138	0.16049	0.18435	0.29031	0.36376	0.14029	0.4105	0.37578
AG	1	SF	6	0.00765	0.09809	0.14006	0.18287	0.13703	0.01297	0.0721	0.24873	0.23417	0.17653	0.15885	0.18007	0.24398	0.28754	0.12552	0.35765	0.32777
AG	1	SF	6	0.00754	0.10893	0.14906	0.18939	0.14102	0.01341	0.06921	0.19883	0.18206	0.14155	0.12864	0.15682	0.2211	0.267	0.11851	0.3013	0.27661
AG	1	SF	6	0.00559	0.07779	0.1117	0.13732	0.10622	0.01155	0.04398	0.19278	0.17772	0.1326	0.12072	0.12766	0.18376	0.20653	0.09799	0.25074	0.2271
