,1,3,5,7,9,11,13,15,17
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,77.356,77.148,38.286,30.826,25.01,41.97,62.68,31.32,9.874
std,19.532647353219957,12.585025296893404,20.088785992321462,24.572899274556818,27.810298909772662,16.27571497033513,23.31318530828502,33.70860632361658,13.292988041148794
min,20.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,60.0,67.0,20.0,10.0,0.0,30.0,40.0,0.0,0.0
50%,80.0,78.5,40.0,33.0,11.0,40.0,60.0,33.0,0.0
75%,100.0,91.0,50.0,50.0,50.0,50.0,80.0,67.0,14.0
max,100.0,100.0,100.0,89.0,100.0,80.0,100.0,100.0,62.0
