,1,3,5,7,9,11,13,15,17
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,83.24,75.32,21.034,67.632,90.04,9.1,39.232,85.36,8.05
std,9.658206972510344,15.356080829328597,17.824822371770498,17.342262948310324,13.41858848888618,15.817407523406654,31.831378375725365,18.643109479432933,15.951689967701018
min,62.0,33.0,0.0,33.0,33.0,0.0,0.0,20.0,0.0
25%,75.0,67.0,0.0,50.0,80.0,0.0,0.0,75.0,0.0
50%,81.0,71.0,20.0,67.0,100.0,0.0,33.0,100.0,0.0
75%,94.0,86.0,33.0,83.0,100.0,25.0,67.0,100.0,0.0
max,100.0,100.0,60.0,100.0,100.0,75.0,100.0,100.0,75.0
