,3,5,7,9,11,13,15,17
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,71.76,68.21,76.25,71.72,51.93,17.83,70.74,32.78
std,23.575708431691176,19.845240415128952,20.062215355487037,23.585889603251168,24.583200921260605,18.425528491752996,22.24279397394883,25.763911937371596
min,0.0,20.0,20.0,25.0,0.0,0.0,0.0,0.0
25%,50.0,50.0,60.0,50.0,33.0,0.0,60.0,18.75
50%,75.0,75.0,75.0,75.0,50.0,25.0,75.0,25.0
75%,100.0,80.0,100.0,100.0,67.0,33.0,80.0,50.0
max,100.0,100.0,100.0,100.0,100.0,67.0,100.0,100.0
